clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.48,-0.16,544,icymi in ellicottcity streets remain closed by flood damage  clean up hoco mdtraffic,help/rescue
0,-0.48,-0.12,426,shocked residents return to their homes after a major flood in ellicott city destroyed their community sat0163 pictwittercom/py55mb5uf3,help/rescue
0,-0.48,0.01,168,on the bridge in old ellicott city after the flood waters receded a bit 7/30/16 pictwittercom/fey8axqjzy,help/rescue
0,-0.48,0.01,566,we will miss you old clock hope they find a way to replace you 815 your last time!!! ellicottcity flood oldecpictwittercom/rdvtse7uks,help/rescue
0,-0.48,-0.24,568,pray for those in okd ellicott city that were effected by the flood,help/rescue
0,-0.48,-0.08,162,they showing damage from the ellicott city flood and im trying to figure out why the big eggplant emoji pictwittercom/8ivonelcdv,help/rescue
0,-0.48,-0.01,171,i feel so bad for some of these old ellicott city shops last nights flood is going to have a long lasting effect on them,help/rescue
0,-0.48,-0.11,82,im so sad about the flood damage to ellicott city because thats my favorite place,help/rescue
0,-0.48,-0.25,472,just a disaster says owner of portallis restaurant in ellicott city damaged by flood,help/rescue
0,-0.48,-0.14,508,so many good memories in old ellicott city so wild to see all that flood damage smh thats only a few miles from me,help/rescue
0,-0.48,-0.23,57,all of this is bad news for those ellicottcity business owners as they clean up from the flood and contemplate their next steps,help/rescue
0,-0.48,-0.16,271,ellicottcity a few days ago and now after the flood so sad for my maryland friends ,help/rescue
0,-0.48,-0.08,6,just a week ago we were in ellicottcity for sakuranym bachlorette party and now its been devastated by flood damage so sad (,help/rescue
0,-0.47,-0.07,490,ellicott city is a fun town  ive been there and had a great night out with friends  but business owners know the flood risk well,help/rescue
0,-0.47,0.04,576,prayers for the people in ellicott city md who have been devastated by the flood waters,help/rescue
0,-0.47,-0.29,545,please help ellicottcity recover from this devastating flood this town means everything to me u2661,help/rescue
0,-0.47,-0.14,547,startling to watch people driving through the *raging flood water* in the clips from ellicottcity stop doing that!,help/rescue
0,-0.47,-0.10,88,genuinely devastated about the damage that has been done to old ellicott city from this flood anyone know of any volunteers needed?,help/rescue
0,-0.47,-0.26,36,peace to ellicottcity and those dealing with the flood,help/rescue
0,-0.47,-0.26,608,community in shock following damaging flood in ellicott city,help/rescue
0,-0.47,-0.22,123,good news flood waters have receded in ellicott city bad news this is what was left behind,help/rescue
0,-0.47,0.07,186,ellicott city residents use human chain to rescue stranded woman from flood,help/rescue
0,-0.47,-0.04,96,joking turns to fear in this ellicottcity flood video  1st hand look how it all unfolded,help/rescue
